Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,2596.1
,4.4,(93),38.9080358,-77.0753079,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,2508.7
,4.5,(36),38.921096,-77.0284463,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,1801.4
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,2061.7
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,5981.5
,4.5,"(15,839)",38.8981675,-77.0208568,Stadium,2026-01-15T18:52:11.268072,38.916359,-77.048358,3123.2
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,1216.2
,3.7,(3),38.9076669,-77.0127244,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,1662.5
,4.5,(36),38.921096,-77.0284463,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,526.8
,4.8,(6),38.8978339,-77.0493504,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,2746.4
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,5149.2
,4.5,"(15,839)",38.8981675,-77.0208568,Stadium,2026-01-15T18:52:29.932420,38.916359,-77.028358,2124.4
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,2669.5
,3.9,(15),38.9423664,-77.0274032,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,1931.6
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,10598.9
,4.7,(13),38.9433179,-77.0007566,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,4189.1
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,7884.2
,4.5,(36),38.921096,-77.0284463,Stadium,2026-01-15T18:52:48.649325,38.936359,-77.048358,2418.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,1366.4
,4.7,(13),38.9433179,-77.0007566,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,2509.5
,3.9,(15),38.9423664,-77.0274032,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,673.1
,4.8,(16),38.9462028,-77.0016538,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,2555.8
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,9224.7
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:53:07.693705,38.936359,-77.028358,7273.1
,5.0,(2),38.9637719,-77.0541083,Stadium,2026-01-15T18:53:26.200527,38.956359,-77.048358,962.6
,3.9,(15),38.9423664,-77.0274032,Stadium,2026-01-15T18:53:26.200527,38.956359,-77.048358,2388.5
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:53:26.210187,38.956359,-77.048358,4171.8
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:53:26.210187,38.956359,-77.048358,9518.5
,4.7,(13),38.9433179,-77.0007566,Stadium,2026-01-15T18:53:26.210187,38.956359,-77.048358,4364.4
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-15T18:53:26.210187,38.956359,-77.048358,9921.3
,4.7,(13),38.9433179,-77.0007566,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,2792.9
,3.9,(15),38.9423664,-77.0274032,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,1558.1
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,3485.2
,5.0,(2),38.9637719,-77.0541083,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,2374.1
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,7960.4
,4.8,(16),38.9462028,-77.0016538,Stadium,2026-01-15T18:53:44.786507,38.956359,-77.028358,2570.6
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,5400.7
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,4705.1
,4.6,(143),38.8865043,-77.1102224,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,7731.9
,4.6,(239),38.8213889,-77.0522222,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,1697.9
,4.0,"(7,956)",38.9081324,-76.8639884,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,17845.1
,4.3,(28),38.8389304,-77.0569883,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,800.3
,4.4,(188),38.9255745,-77.0207861,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,10203.3
,4.4,(886),38.9902626,-76.9472548,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,19219.3
,4.5,(22),38.8265571,-77.0972939,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,4376.7
,5.0,(1),38.8212446,-77.0527482,Stadium,2026-01-17T15:44:24.911158,38.836359,-77.048358,1723.2
,4.6,"(14,130)",38.8730102,-77.0074329,Stadium,2026-01-17T15:44:43.070753,38.836359,-77.028358,4460.1
,4.6,"(3,880)",38.8684009,-77.0128693,Stadium,2026-01-17T15:44:43.070753,38.836359,-77.028358,3807.0
,4.4,(534),38.8469016,-76.9913962,Stadium,2026-01-17T15:44:43.070753,38.836359,-77.028358,3409.1
