Name,Rating,Number of Reviews,Latitude,Longitude,Search Query,UTC_Time,CenterLat,CenterLon,Distance_m
,4.9,(78),38.9134225,-77.0477242,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,331.1
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:01.903706,38.916359,-77.048358,2071.4
,4.5,"(9,068)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1357.8
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1465.1
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:52:20.575801,38.916359,-77.028358,1747.5
,4.9,(78),38.9134225,-77.0477242,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,1707.0
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,2056.9
,4.5,"(6,655)",38.9039084,-77.0249614,Conference Center,2026-01-15T18:52:20.577232,38.916359,-77.028358,1415.3
,4.5,"(9,069)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,4130.9
,4.7,(94),38.9252883,-77.0380226,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,1521.4
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,2429.6
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,4191.8
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,6124.3
,4.3,(12),38.9016479,-77.0354623,Conference Center,2026-01-15T18:52:39.306467,38.936359,-77.048358,4017.7
,4.5,"(9,069)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,3530.6
,4.7,(94),38.9252883,-77.0380226,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,1488.0
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,2817.1
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,4184.6
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,7239.8
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-15T18:52:58.153969,38.936359,-77.028358,5333.3
,4.5,"(9,069)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,6129.9
,4.8,(19),38.9587952,-77.0627735,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,1275.5
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,6383.0
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,8061.0
,4.6,(119),38.9978413,-77.0988804,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,6352.1
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:53:17.019707,38.956359,-77.048358,4645.9
,4.5,"(9,069)",38.9048838,-77.0229934,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,5742.6
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,6378.3
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,8937.7
,4.3,(326),38.8878831,-76.8662153,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,15960.3
,4.4,(28),38.8918146,-77.0055037,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,7444.4
,4.9,(13),38.9146521,-77.0451491,Conference Center,2026-01-15T18:53:35.545777,38.956359,-77.028358,4859.7
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,1517.6
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,2339.2
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,1820.3
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,7929.7
,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,1300.7
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-17T15:44:15.703414,38.836359,-77.048358,6965.5
,5.0,(2),38.8488678,-77.0413481,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,1788.9
,4.3,(21),38.8251446,-77.0255112,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,1271.2
,4.5,(23),38.8527297,-77.0484533,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,2518.4
,4.5,"(9,070)",38.9048838,-77.0229934,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,7633.7
,4.3,"(1,015)",38.8478104,-77.0514267,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,2369.2
,4.7,(30),38.8908054,-77.0881445,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,7965.4
,4.0,(51),38.8995065,-77.0381579,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,7072.7
,4.0,"(2,691)",38.8494446,-77.0532668,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,2602.1
,4.3,(326),38.8878831,-76.8662153,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,15162.8
,4.5,"(4,380)",38.8939166,-77.0307749,Conference Center,2026-01-17T15:44:34.229594,38.836359,-77.028358,6403.5
